Keyword,frequency,category_ids
wrong,16,"[20, 17, 28, 24, 10, 27, 1]"
crafts,16,"[26, 20]"
mike,16,"[10, 22, 17, 24, 25, 27]"
dark,16,"[10, 27, 20, 25, 24]"
wrld,16,[10]
cover,16,"[24, 20, 10, 22]"
chiefs,16,[17]
september,16,"[28, 24, 1, 17, 20]"
zhc,16,"[24, 26]"
starring,16,"[10, 22, 23, 24, 20, 19]"
odi,16,[17]
wars,16,"[17, 20, 24, 27, 19]"
work,16,"[24, 27, 22, 28, 26, 20, 2]"
camilo,16,[10]
rick,16,"[24, 10, 1]"
reigns,16,[17]
debut,15,"[10, 22, 23, 17, 24]"
smp,15,"[20, 10]"
ot,15,[17]
lipa,15,"[10, 26]"
seconds,15,"[23, 22, 20, 24]"
malone,15,"[10, 24]"
butter,15,"[10, 23, 24]"
pay,15,"[24, 20, 27, 1, 23, 17, 26, 22]"
adele,15,"[10, 24]"
showtime,15,"[17, 24, 22]"
match,15,"[24, 17, 22]"
serie,15,[17]
tim,15,[17]
post,15,"[10, 24, 22, 17]"
oddly,15,"[22, 24]"
theaters,15,"[24, 1]"
dua,15,"[10, 26]"
stories,15,"[24, 15, 20, 1, 22]"
million,15,"[17, 20, 27, 22, 10, 25]"
door,15,"[10, 25, 24, 26, 20]"
rd,15,[10]
becky,15,[10]
youtuber,15,"[20, 24, 25]"
album,15,"[10, 23]"
let,15,"[24, 10, 22, 20]"
sonic,15,"[10, 1, 24, 20]"
freddys,15,"[20, 24, 10]"
kylie,15,"[22, 24, 26]"
roman,15,[17]
myths,15,"[24, 22, 20]"
escape,15,"[24, 20, 10, 22]"
moneybagg,15,[10]
goodbye,15,"[20, 22, 23, 26, 24, 17]"
fc,15,[17]
te,15,"[10, 23]"
june,15,"[24, 28, 20, 17, 1]"
qualifying,15,[17]
txt,15,"[10, 24]"
person,15,"[24, 10, 23]"
late,15,"[10, 17, 27, 23, 24]"
legend,15,"[24, 20, 10, 22]"
chelsea,15,[17]
island,15,"[24, 20, 28, 22, 10, 27, 1]"
rosalía,15,"[10, 24]"
gold,14,"[10, 22, 20, 17, 27, 24]"
could,14,"[23, 25, 1, 27, 26, 24, 22, 20, 17]"
yet,14,"[10, 17, 24, 28, 2, 20, 1]"
von,14,[10]
characters,14,"[1, 20, 24]"
viral,14,"[1, 10, 23, 24, 26]"
air,14,"[28, 25, 10, 24, 20, 2, 27]"
travis,14,"[10, 2, 24, 1]"
whats,14,"[22, 10, 20, 25, 24, 27, 23, 1]"
mario,14,"[23, 20, 1, 17, 24]"
return,14,"[1, 17, 10, 25, 20, 28, 22]"
leave,14,"[24, 10, 20, 22, 26]"
celtics,14,"[17, 23]"
dude,14,"[17, 22]"
wont,14,"[22, 26, 28, 24, 10, 20, 27, 23]"
hermitcraft,14,[20]
chicken,14,"[10, 22, 28, 20, 24, 23]"
champions,14,"[20, 24, 25, 17, 10]"
freestyle,14,"[10, 24, 22]"
minaj,14,"[17, 10, 22, 24]"
feel,14,"[24, 10]"
sessions,14,"[24, 10]"
earth,14,"[20, 24, 27, 10, 23]"
role,14,[20]
rosé,14,"[10, 22, 24]"
scores,14,[17]
mama,14,"[26, 24, 20, 10, 15]"
youre,14,"[22, 23, 24, 10, 20]"
laroi,14,"[10, 24]"
across,14,"[24, 20, 17, 22, 25]"
smoke,14,"[24, 10, 19]"
videos,14,"[24, 22, 17, 25, 20, 28, 23]"
suga,14,"[10, 22]"
inkigayo,14,"[10, 24, 22]"
bennett,14,[24]
championship,14,"[17, 22, 20]"
tiny,14,"[10, 15, 22, 27, 24, 20, 26]"
moon,14,"[24, 1, 20, 28, 27, 10, 19, 29]"
rings,14,"[1, 24, 20]"
nodal,14,[10]
directed,14,[24]
cyrus,14,"[10, 24, 22]"
reaction,14,"[24, 22, 28, 10, 15, 17, 27]"
madrid,14,"[10, 17]"
gala,14,"[24, 26, 22, 23, 27]"
commercial,14,"[28, 26, 24, 27, 22, 2]"
ryan,14,"[1, 17, 22, 10, 24, 23]"
switch,14,"[10, 20, 24]"
rochy,14,[10]
argentina,14,"[25, 17]"
think,14,"[10, 22, 24, 27, 20, 23, 28, 26]"
worst,14,"[17, 25, 22, 20, 24, 27, 23, 10]"
sleep,14,"[20, 24, 10]"
grammys,14,"[10, 24]"
emotional,14,"[24, 17, 23, 25, 22]"
breaks,13,"[24, 28, 1, 26, 22, 20]"
die,13,"[10, 1, 20, 22]"
mr,13,"[24, 10, 1, 20, 22]"
tyson,13,"[24, 17, 10, 27]"
minecrafts,13,"[22, 20, 24]"
royal,13,"[17, 25, 20, 27]"
dog,13,"[17, 23, 15, 1, 24, 25, 20]"
ill,13,"[24, 20, 10, 26, 22]"
surprising,13,"[24, 22, 26]"
testing,13,"[24, 23, 26, 20, 17, 22]"
russian,13,"[25, 17, 24, 20, 27]"
president,13,"[22, 25, 24, 29, 23]"
change,13,"[27, 10, 20, 22, 25, 24, 28]"
